val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_acc,train_f1,train_auc,train_tpr,learning_rate,train_loss
0.5585798621177673,0.9976266026496887,0.0,0.7358945608139038,0.0,0,3,,,,,,
0.5000249743461609,0.9976266026496887,0.0,0.8062384128570557,0.270042194092827,0,7,,,,,,
,,,,,0,8,0.5753533244132996,0.005823187064379454,0.5880877375602722,nan,5.74446858081501e-05,
,,,,,1,9,,,,,,0.682698667049408
0.3879901170730591,0.9976266026496887,0.0,0.8528210520744324,0.270042194092827,1,12,,,,,,
0.2745673358440399,0.9976266026496887,0.0,0.8667724132537842,0.270042194092827,1,16,,,,,,
,,,,,1,17,0.6845675706863403,0.005702067166566849,0.6017597913742065,nan,0.0001760866289259866,
,,,,,2,19,,,,,,0.4247121214866638
0.145616352558136,0.9976266026496887,0.0,0.8535260558128357,0.270042194092827,2,21,,,,,,
0.07884318381547928,0.9976266026496887,0.0,0.8663024306297302,0.270042194092827,2,25,,,,,,
,,,,,2,26,0.8670435547828674,0.008431702852249146,0.6260901093482971,nan,0.00039030652260407805,
,,,,,3,29,,,,,,0.16527530550956726
0.03280337527394295,0.9976266026496887,0.0,0.8645695447921753,0.270042194092827,3,30,,,,,,
,,,,,3,30,0.958740234375,0.0,0.5796427726745605,0.0,0.0005766465328633785,
